174.04	0.000169318998815
175.59	0.000182652001968
176.46	0.000214649000554
177.12	0.00024
178.11	0.000273310986813
179.05	0.000324
180.25	0.000410632987041
251.95	0.969
262.25	2.044
273.15	4.093
278.15	5.501
283.15	7.402
283.15	7.506
287.03	9.322
287.75	9.707
288.15	9.884
288.15	9.887
288.52	10.107
288.85	10.305
289.49	10.700
289.88	10.913
290.42	11.247
290.93	11.551
291.15	11.620
291.43	11.865
291.98	12.230
292.56	12.615
292.98	12.899
293.14	13.002
293.16	13.023
293.20	13.059
293.49	13.274
294.06	13.689
294.56	14.033
294.99	14.358
295.51	14.773
295.90	15.057
296.99	15.969
297.29	16.202
297.99	16.810
298.15	16.805
298.15	16.852
298.15	16.956
298.15	16.958
298.15	16.959
298.28	17.053
298.69	17.408
299.26	17.934
299.49	18.127
300.24	18.887
300.42	19.069
301.37	20.052
301.67	20.275
302.22	20.883
302.99	21.704
303.14	21.874
303.15	21.718
303.15	21.878
303.20	21.625
303.72	22.535
303.92	22.677
304.47	23.365
304.79	23.730
305.24	24.278
305.76	24.885
306.60	25.949
307.26	26.790
308.15	27.976
313.15	34.937
313.15	35.090
313.15	35.468
318.15	44.580
318.15	44.581
323.14	55.590
323.15	54.809
328.14	68.819
333.14	84.576
333.15	84.591
337.65	101.253
