280.65	5.253
281.25	5.413
281.75	5.586
282.25	5.720
282.85	5.893
283.25	6.039
283.85	6.239
284.14	6.445
284.45	6.413
284.85	6.533
285.75	6.853
286.45	7.106
286.95	7.293
287.23	7.529
288.17	7.878
290.19	8.761
291.28	9.222
292.95	9.839
293.15	10.059
295.46	11.239
297.06	12.128
298.06	12.691
299.07	13.276
299.17	13.318
299.55	13.399
300.18	13.983
301.19	14.592
302.18	15.251
303.19	15.949
304.23	16.651
308.22	19.846
308.65	20.212
313.15	24.395
313.15	24.408
313.22	24.410
315.30	26.551
315.65	26.971
318.50	30.149
320.85	33.691
321.86	34.373
324.53	38.057
326.05	40.263
327.87	43.097
331.06	48.423
331.08	48.433
333.45	52.929
333.95	53.356
334.73	55.150
338.36	62.535
340.45	66.581
341.97	70.605
343.45	74.127
345.57	79.509
346.05	80.233
349.00	88.717
349.10	89.030
350.75	93.446
352.90	100.265
353.05	100.112
353.25	101.330
353.35	101.325
353.45	101.858
363.45	137.455
373.45	182.652
