171.85	0.007733
176.45	0.0128
177.95	0.015732
179.75	0.020
185.05	0.036
189.65	0.05906
192.15	0.07786
194.65	0.1016
196.95	0.12652
208.15	0.26664
212.35	0.5266
217.40	0.7906
219.15	0.6666
222.28	1.1692
227.15	1.6825
229.15	1.2666
232.03	2.3705
236.92	3.3024
239.15	2.800
241.82	4.537
246.73	6.108
247.15	4.933
251.65	8.174
254.15	7.333
256.57	10.755
259.15	10.266
261.51	13.971
265.15	15.199
266.45	17.966
273.15	25.331
273.16	24.815
278.13	31.161
283.09	38.746
288.05	47.749
293.02	58.355
298.15	71.487
307.85	101.325
373.15	666.718
383.15	846.064
393.15	1053.780
403.15	1287.840
413.15	1562.430
423.15	1888.700
433.15	2263.600
443.15	2715.510
453.15	3232.270
463.15	3738.890
